Date and Time,Open,High,Low,Close,Volume
22/02/2021 03:57,134.21776735,134.21776735,134.21776735,134.21776735,1564
22/02/2021 03:58,134.21776735,134.23326951,134.20226518,134.21776735,708
22/02/2021 03:59,134.21776735,134.23326951,134.21776735,134.21776735,1845
22/02/2021 04:00,134.20226518,134.21776735,134.20226518,134.20226518,842
22/02/2021 04:01,134.20226518,134.21776735,134.20226518,134.21776735,39
22/02/2021 04:02,134.21776735,134.21776735,134.20226518,134.20226518,124
22/02/2021 04:03,134.20226518,134.21776735,134.20226518,134.21776735,418
22/02/2021 04:04,134.21776735,134.21776735,134.20226518,134.21776735,833
22/02/2021 04:05,134.21776735,134.23326951,134.21776735,134.21776735,1157
22/02/2021 04:06,134.21776735,134.21776735,134.20226518,134.21776735,60
22/02/2021 04:07,134.21776735,134.21776735,134.21776735,134.21776735,1216
22/02/2021 04:08,134.21776735,134.21776735,134.21776735,134.21776735,924
22/02/2021 04:09,134.21776735,134.23326951,134.21776735,134.23326951,3676
22/02/2021 04:10,134.23326951,134.23326951,134.21776735,134.21776735,983
22/02/2021 04:11,134.21776735,134.21776735,134.20226518,134.20226518,1946
22/02/2021 04:12,134.20226518,134.21776735,134.20226518,134.21776735,106
22/02/2021 04:13,134.20226518,134.21776735,134.20226518,134.21776735,11
22/02/2021 04:14,134.21776735,134.23326951,134.21776735,134.23326951,2402
22/02/2021 04:15,134.21776735,134.23326951,134.21776735,134.21776735,113
22/02/2021 04:16,134.21776735,134.23326951,134.21776735,134.23326951,18
22/02/2021 04:17,134.21776735,134.23326951,134.21776735,134.23326951,1299
22/02/2021 04:18,134.23326951,134.24877168,134.21776735,134.24877168,817
22/02/2021 04:19,134.24877168,134.24877168,134.24877168,134.24877168,1104
22/02/2021 04:20,134.24877168,134.26427385,134.24877168,134.26427385,4302
22/02/2021 04:21,134.24877168,134.26427385,134.24877168,134.24877168,1641
22/02/2021 04:22,134.24877168,134.26427385,134.24877168,134.24877168,1716
22/02/2021 04:23,134.24877168,134.24877168,134.23326951,134.24877168,794
22/02/2021 04:24,134.24877168,134.24877168,134.23326951,134.24877168,50
